Plot = 
{
	t00000 = "$mainActor$",
	t00001 = "Người tu tiên <(c0xFF00FF00)$mainActor$>, cảm ơn ngươi đã cứu con ta.",
	t00002 = "Tộc Đạp Vân Hồ trấn giữ tiên sơn, cống hiến rất nhiều, nay gặp nạn, đáng lẽ nên giúp đỡ.",
	t00003 = "<(c0xFF00FF00)$mainActor$>, ta thấy tiềm chất của ngươi không tệ, có ý muốn gửi gắm con ta cho ngươi, một là báo đáp ân tình, hai là để nó rèn luyện, chỉ không biết ngươi có sẵn lòng nhận nó không?",
	t00004 = "Phàm nhân có Đạp Vân Hồ theo cùng, tu tiên sẽ bớt gian nan hơn nhiều, ta hứa, từ nay sẽ đối xử với nó như tay chân.",
	t00005 = "Con ta, con hãy theo người tu tiên <(c0xFF00FF00)$mainActor$> đi!",
	t00006 = "<(c0xFF00FF00)$mainActor$>, ngươi có ơn với Yêu Tộc ta, nay tu vi ngươi còn thấp, bản vương tặng ngươi một con Đạp Vân Hồ để đi lại, mong ngươi biết trân trọng chăm sóc nó.",
	t00007 = "Ha ha ha, Mộ Dung Ngọc Tiên, uổng công ta si tình với ngươi mà ngươi lại chẳng thèm để ý, giờ chẳng phải vẫn rơi vào tay ta sao? Chẳng bao lâu nữa ta sẽ cho ngươi thấy, thế nào mới là sức mạnh thật sự!",
	t00008 = "Vạn Kiếm Sầu, ngươi hợp thể với Viêm Ma, giải phóng Ma Tộc thượng cổ, ngươi nhất định sẽ vạn kiếp bất phục!",
	t00009 = "Mộ Dung cô nương, ta đến cứu nàng!",
	t00010 = "Hừ, <(c0xFF00FF00)$mainActor$>, ngươi còn dám đuổi theo, đã vậy ngươi cầu chết, ta sẽ thỏa mãn yêu cầu của ngươi, biến ngươi thành tro bụi, ha ha ha!",
	t00011 = "Một đạo kiếm mang sắc bén xung thiên mà lên, chém chết Viêm Ma Vạn Kiếm Sầu hóa thành hư vô, lúc này gần đó truyền đến một giọng nói lười biếng......",
	t00012 = "Huyên Nhi",
	t00013 = "Một giấc mộng ngàn năm, biển dâu đổi dời. Ơ, khí tức Hiên Viên? <(c0xFF00FF00)Huyên Nhi> thích quá ^_^!",
	t00014 = "Ngươi... ngươi là ai?",
	t00015 = "Ta à, là kiếm linh của Hiên Viên Kiếm, vẫn luôn say ngủ trong viên Hiên Viên Huyết Ngọc ngươi đang đeo, vừa bị khí tức của Ma Tộc thượng cổ đánh thức, <(c0xFF00FF00)$mainActor$>, ngươi cứ gọi ta là Huyên Nhi được rồi.",
	t00016 = "Phong ấn ngàn năm, Thánh Tộc cuối cùng đã hồi sinh, <(c0xFF00FF00)Xi Vưu Thánh Quân> sẽ quay lại phàm trần tại Cửu Lê Dã, những phàm nhân đáng thương, ngày tận thế của các ngươi đã đến, chết đi!",
	t00017 = "Ta là <(c0xFF00FF00)Huyên Nhi> đây! ——Không hay rồi, để Viêm Ma mở phong ấn thả Ma Tộc thượng cổ ra rồi! <(c0xFF00FF00)$mainActor$>, dùng <(c0xFF00FF00)tuyệt kỹ> giải phóng hồn lực của ta để tiêu diệt Ma Tộc!",
	t00018 = "Ma khí hỗn độn nồng đậm quá, đây là... khí tức của Xi Vưu?!",
	t00019 = "Kiếm linh Hiên Viên!!! ——Ha ha ha, ngươi tưởng ngươi có thể ngăn được ta quay lại phàm trần sao?",
	t00020 = "Xi Vưu, bất kể là thượng cổ, hay hiện tại, lão nương... khụ khụ, bổn cô nương đều có thể chém chết ngươi!",
	t00021 = "Hừ, nói nhiều vô ích, giờ đây thần dân của ta trong Phong Ma Điện đã hồi sinh hết rồi, xem ngươi làm sao dập tắt cơn giận của bọn họ!",
	t00022 = "Đáng hận, hồn phách khiếm khuyết, ma nguyên không đủ, lại không phải đối thủ của <(c0xFF00FF00)$mainActor$>!",
	t00023 = "Xi Vưu, chết đi!",
	t00024 = "Hừ, kiếm linh Hiên Viên đừng vội đắc ý, bổn ma quân sẽ ngăn ngươi tái tạo, nếu ta được hồn thân trùng tụ, đó chính là lúc ngươi hồn phi phách tán, lúc đó, Thần Châu cũng sẽ diệt vong! Ha ha ha……",
	t00025 = "Ta hiện không có thân kiếm Hiên Viên để nương tựa, khó phát huy sức mạnh, không ngăn được tàn hồn Xi Vưu chạy trốn, sau này hắn nhất định sẽ ngăn cản việc tái tạo Hiên Viên Kiếm, <(c0xFF00FF00)$mainActor$>, chúng ta phải mau về Thiên Nguyên Thành tìm Chỉ Vân.",
	t00026 = "Lão bà bà, xin người tha cho con và Thái Thần được không?",
	t00027 = "Xích Hà, ngươi thấy chưa? Ngươi thật vô dụng, người phụ nữ mình canh giữ lại bị một tên thư sinh hủ lậu như vậy dụ dỗ mất, ha ha ha, cái này còn hả giận hơn cả việc ta tự tay giết ngươi!",
	t00028 = "Ta cảm nhận được khí tức Hiên Viên Kiếm của mình, ở trên người Tiểu Thiến đó.",
	t00029 = "Hừ, muốn nhắm vào thân kiếm Hiên Viên? Ta sẽ dâng nó cho Xi Vưu đại nhân vừa hồi sinh, ai muốn có nó đều phải chết!",
	t00030 = "Lão Ma, ngươi đứng lại cho ta!!!",
	t00031 = "Thanh Hiên Viên Kiếm này vốn là vật của các ngươi, nay coi như vật trả về chủ cũ, cầm lấy đi, tái tạo Hiên Viên Kiếm, để Cửu Châu sớm ngày thoát khỏi ma kiếp.",
	t00032 = "Hiên Viên Kiếm rời thân, phong ấn của Tiểu Thiến được giải trừ, sẽ khôi phục ký ức trước đây, Xích Hà, lúc đó ngươi nên đối mặt thế nào?",
